"Nº pers.","Clave de sexo","Centro","Área de nómina","Condición","Relación laboral","Rel. Laboral ok","Unidad organizativa","Grupo de invalidez","Categoría profesional","Tipo de contrato","fijo/Temp","GI","Disc","GrdOcup","Días","FTE","Personas","Mes",""
"00005271","hombres","Centro 1","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","21","0.677419355","0.677419355","Jan-22",""
"00005355","mujeres","Centro 2","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005463","hombres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","D.O.P.","","Técnico Integración Social","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005594","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005619","mujeres","Centro 4","Enseñanza Privada","No socios","Per. Docente","Personal docente","","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005624","mujeres","Centro 5","Enseñanza Privada","No socios","Per. Docente","Personal docente","D.O.P.","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00006237","hombres","Centro 2","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","17.53","31","0.1753","1","Jan-22",""
"00005628","mujeres","Centro 5","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","","Maestro","410","Temporal ","0","","100","15","0.483870968","0.483870968","Jan-22",""
"00005667","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005675","mujeres","Centro 1","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","21","0.677419355","0.677419355","Jan-22",""
"00005679","mujeres","Centro 6","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005684","hombres","Centro 1","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","","Empl. Servicio Mantenimiento","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005697","hombres","Centro 4","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005710","mujeres","Centro 2","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","","Maestro","410","Temporal ","0","","100","8","0.258064516","0.258064516","Jan-22",""
"00006257","hombres","Centro 3","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","16.88","22","0.119793548","0.709677419","Jan-22",""
"00005773","hombres","Centro 6","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005776","hombres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005778","mujeres","Centro 1","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","","Maestro","410","Temporal ","0","","100","8","0.258064516","0.258064516","Jan-22",""
"00005781","mujeres","Centro 4","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005789","mujeres","Centro 4","Enseñanza Privada","No socios","Per. Docente","Personal docente","Secundaria","","Profesor","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005807","mujeres","Centro 6","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005810","mujeres","Centro 1","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005831","hombres","Centro 1","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","21","0.677419355","0.677419355","Jan-22",""
"00005835","hombres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005850","mujeres","Centro 1","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005854","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","Primaria","","Maestro","410","Temporal ","0","","100","31","1","1","Jan-22",""
"00005856","mujeres","Centro 2","Enseñanza Privada","No socios","Per. Docente","Personal docente","D.O.P.","","Prof. Terapéuta","410","Temporal ","0","","100","20","0.64516129","0.64516129","Jan-22",""
"00006292","mujeres","Centro 5","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","12.99","15","0.062854839","0.483870968","Jan-22",""
"00006310","hombres","Centro 5","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","15.58","4","0.020103226","0.129032258","Jan-22",""
