Período : 01.09.2023 - 31.08.2024,

Socio,Rango
1836,Entre 35.000 y 37.500
1837,Entre 37.500 y 40.000
1839,Entre 35.000 y 37.500
1840,Entre 37.500 y 40.000
1841,Entre 35.000 y 37.500
1843,Menos de 20.000
1844,Entre 37.500 y 40.000
1845,Entre 37.500 y 40.000
1847,Entre 30.000 y 35.000
1848,Entre 35.000 y 37.500
1849,Entre 40.000 y 50.000
1850,Entre 40.000 y 50.000
1853,Entre 37.500 y 40.000
1854,Entre 35.000 y 37.500
1855,Entre 37.500 y 40.000
1857,Entre 40.000 y 50.000
1858,Entre 40.000 y 50.000
1859,Entre 37.500 y 40.000
1861,Entre 37.500 y 40.000
1864,Entre 35.000 y 37.500
1865,Entre 35.000 y 37.500
1867,Entre 37.500 y 40.000
1868,Entre 37.500 y 40.000
1871,Entre 35.000 y 37.500
1874,Entre 37.500 y 40.000
1875,Entre 37.500 y 40.000
1876,Entre 40.000 y 50.000
1877,Entre 37.500 y 40.000
1878,Entre 37.500 y 40.000
1879,Entre 40.000 y 50.000
1880,Entre 20.000 y 25.000
1881,Entre 40.000 y 50.000
1882,Entre 37.500 y 40.000
1883,Entre 35.000 y 37.500
1884,Menos de 20.000
1886,Entre 40.000 y 50.000
1888,Menos de 20.000
1889,Entre 35.000 y 37.500
1890,Entre 30.000 y 35.000
1891,Entre 30.000 y 35.000
1893,Entre 37.500 y 40.000
1895,Entre 30.000 y 35.000
1896,Entre 25.000 y 30.000
1897,Entre 25.000 y 30.000
1912,Entre 30.000 y 35.000
1925,Entre 30.000 y 35.000
1926,Menos de 20.000
1927,Entre 30.000 y 35.000
1929,Entre 20.000 y 25.000
1932,Entre 40.000 y 50.000
1934,Entre 30.000 y 35.000
1936,Entre 20.000 y 25.000
1937,Entre 35.000 y 37.500
1939,Entre 30.000 y 35.000
1942,Entre 50.000 y 60.000
1943,Entre 30.000 y 35.000
1944,Entre 30.000 y 35.000
1945,Entre 25.000 y 30.000
1946,Entre 37.500 y 40.000
1947,Entre 37.500 y 40.000
1948,Entre 30.000 y 35.000
1949,Menos de 20.000
1950,Entre 37.500 y 40.000
1951,Entre 37.500 y 40.000
1953,Entre 37.500 y 40.000
1954,Entre 30.000 y 35.000
1955,Entre 37.500 y 40.000
1956,Entre 30.000 y 35.000
1957,Entre 37.500 y 40.000
1958,Entre 37.500 y 40.000
1959,Menos de 20.000
1961,Entre 30.000 y 35.000
1963,Entre 37.500 y 40.000
1964,Entre 37.500 y 40.000
1965,Menos de 20.000
1968,Entre 30.000 y 35.000
1971,Menos de 20.000
1973,Entre 37.500 y 40.000
1974,Entre 20.000 y 25.000
1975,Entre 30.000 y 35.000
1977,Entre 40.000 y 50.000
1978,Entre 40.000 y 50.000
1979,Entre 30.000 y 35.000
1980,Entre 20.000 y 25.000
1984,Entre 20.000 y 25.000
1985,Entre 30.000 y 35.000
1987,Entre 40.000 y 50.000
1990,Entre 40.000 y 50.000
1991,Entre 37.500 y 40.000
1992,Entre 40.000 y 50.000
1993,Menos de 20.000
1994,Entre 37.500 y 40.000
1997,Menos de 20.000
1998,Menos de 20.000
1999,Entre 40.000 y 50.000
2002,Entre 40.000 y 50.000
2003,Entre 40.000 y 50.000
2004,Entre 60.000 y 85.000
2005,Entre 40.000 y 50.000
2008,Entre 40.000 y 50.000
2010,Entre 40.000 y 50.000
2014,Entre 37.500 y 40.000
2016,Entre 40.000 y 50.000
2021,Entre 40.000 y 50.000
2022,Entre 40.000 y 50.000
2024,Entre 20.000 y 25.000
2030,Entre 40.000 y 50.000
2032,Entre 40.000 y 50.000
2033,Entre 25.000 y 30.000
2034,Entre 40.000 y 50.000
2036,Entre 40.000 y 50.000
2037,Entre 40.000 y 50.000
2042,Entre 40.000 y 50.000
2044,Entre 40.000 y 50.000
2045,Entre 40.000 y 50.000
2046,Entre 40.000 y 50.000
2048,Entre 40.000 y 50.000
2049,Entre 37.500 y 40.000
2050,Entre 40.000 y 50.000
2052,Entre 40.000 y 50.000
2054,Entre 37.500 y 40.000
2055,Entre 40.000 y 50.000
2056,Entre 40.000 y 50.000
2057,Menos de 20.000
2058,Entre 40.000 y 50.000
2059,Entre 40.000 y 50.000
2060,Menos de 20.000
2061,Entre 40.000 y 50.000
2063,Entre 37.500 y 40.000
2064,Entre 40.000 y 50.000
2065,Entre 30.000 y 35.000
2066,Entre 40.000 y 50.000
2068,Entre 35.000 y 37.500
2069,Entre 40.000 y 50.000
2070,Entre 40.000 y 50.000
2072,Entre 40.000 y 50.000
2073,Entre 30.000 y 35.000
2074,Entre 37.500 y 40.000
2077,Entre 37.500 y 40.000
2078,Entre 40.000 y 50.000
2080,Entre 40.000 y 50.000
2086,Entre 35.000 y 37.500
2087,Entre 30.000 y 35.000
2088,Entre 20.000 y 25.000
2089,Entre 37.500 y 40.000
2090,Entre 37.500 y 40.000
2094,Entre 20.000 y 25.000
2095,Entre 40.000 y 50.000
2096,Entre 20.000 y 25.000
2097,Entre 37.500 y 40.000
2098,Entre 35.000 y 37.500
2102,Entre 35.000 y 37.500
2108,Entre 37.500 y 40.000
2109,Entre 20.000 y 25.000
2111,Menos de 20.000
